id,cost,status
1,300,0
2,100,0
3,1000,0
4,200,0
5,300,0
6,800,0
7,100,0
8,400,0
9,300,0
10,700,0
11,800,0
12,500,0
13,900,0
14,700,0
15,900,0
16,800,0
17,500,0
18,1000,0
19,700,0
20,900,0
21,200,0
22,500,0
23,300,0
24,1000,0
25,100,0
26,700,0
27,700,0
28,500,0
29,500,0
30,600,0
31,400,0
32,1000,0
33,900,0
34,400,0
35,500,0
36,800,0
37,200,0
38,100,0
39,300,0
40,100,0
41,1000,0
42,100,0
43,100,0
44,400,0
45,600,0
46,800,0
47,1000,0
48,700,0
49,900,0
50,600,0
51,1000,0
52,100,0
53,100,0
54,900,0
55,400,0
56,500,0
57,600,0
58,400,0
59,900,0
60,800,0
61,700,0
62,500,0
63,300,0
64,300,0
65,500,0
66,600,0
67,400,0
68,700,0
69,700,0
70,400,0
71,600,0
72,900,0
73,400,0
74,100,0
75,1000,0
76,1000,0
77,900,0
78,900,0
79,800,0
80,600,0
81,400,0
82,300,0
83,900,0
84,200,0
85,400,0
86,100,0
87,700,0
88,600,0
89,300,0
90,300,0
91,700,0
92,900,0
93,800,0
94,800,0
95,700,0
96,400,0
97,200,0
98,100,0
99,400,0
100,1000,0
