species,pu,amount
1,5,90
3,5,10
1,6,30
2,6,50
1,7,70
3,7,10
3,10,90
1,15,70
2,15,40
3,15,10
1,16,100
1,18,20
3,19,40
1,20,30
1,22,60
2,22,40
3,24,30
1,25,70
1,26,40
3,26,60
3,28,30
2,29,40
1,30,50
1,32,80
2,32,10
2,33,50
2,35,80
3,36,90
1,37,70
3,37,40
2,40,90
3,42,70
2,43,60
1,44,30
2,44,80
1,46,10
3,46,10
3,50,50
1,51,80
2,51,30
2,52,90
2,53,80
3,54,80
2,55,70
3,55,30
3,57,20
1,58,60
2,60,50
3,60,60
1,61,80
3,61,60
1,67,90
3,68,60
2,69,40
3,69,100
3,70,10
2,72,40
2,78,20
2,79,40
1,80,80
3,80,40
3,81,10
2,84,50
3,84,20
2,85,70
1,86,90
2,88,20
3,88,60
1,92,10
2,93,10
3,93,50
3,95,90
1,98,50
2,100,80
