"planning_unit","number"
100,0
99,0
98,0
97,0
96,0
95,0
94,0
93,0
92,0
91,0
90,0
89,0
88,0
87,0
86,0
85,0
84,0
83,0
82,0
81,0
80,0
79,0
78,0
77,0
76,0
75,0
74,0
73,0
72,0
71,0
70,0
69,2
68,1
67,1
66,0
65,0
64,0
63,0
62,0
61,2
60,0
59,0
58,0
57,0
56,0
55,5
54,6
53,2
52,3
51,2
50,0
49,0
48,0
47,0
46,0
45,5
44,7
43,3
42,3
41,0
40,1
39,0
38,0
37,1
36,9
35,8
34,1
33,1
32,1
31,0
30,0
29,0
28,0
27,0
26,9
25,9
24,0
23,0
22,0
21,0
20,0
19,0
18,0
17,0
16,7
15,7
14,0
13,0
12,0
11,0
10,0
9,0
8,0
7,0
6,0
5,0
4,0
3,0
2,0
1,0
