"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,25700.000000,3700.000000,9,22000.000000,220000.000000,7000.000000,22000.000000,191000.000000,0.031818,0.000000,0.000000,0,1.000000
2,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
3,24100.000000,6100.000000,9,18000.000000,220000.000000,9000.000000,18000.000000,193000.000000,0.040909,0.000000,0.000000,0,1.000000
4,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
5,24200.000000,4200.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
6,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
7,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
8,24700.000000,4700.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
9,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
10,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
