"planning_unit","number"
100,0
99,0
98,1
97,0
96,0
95,3
94,0
93,0
92,0
91,0
90,0
89,0
88,0
87,0
86,3
85,1
84,1
83,0
82,0
81,0
80,13
79,0
78,0
77,0
76,0
75,0
74,0
73,0
72,0
71,0
70,0
69,9
68,2
67,1
66,0
65,0
64,0
63,0
62,0
61,29
60,4
59,0
58,1
57,0
56,0
55,41
54,63
53,37
52,41
51,31
50,3
49,0
48,0
47,0
46,0
45,37
44,70
43,45
42,48
41,0
40,4
39,0
38,0
37,17
36,72
35,68
34,15
33,12
32,17
31,0
30,0
29,0
28,0
27,0
26,75
25,70
24,11
23,8
22,8
21,0
20,0
19,0
18,0
17,0
16,59
15,54
14,0
13,0
12,0
11,0
10,0
9,0
8,0
7,0
6,0
5,5
4,0
3,0
2,0
1,0
