"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
2,22800.000000,6800.000000,13,16000.000000,220000.000000,18000.000000,16000.000000,186000.000000,0.081818,0.000000,0.000000,0,1.000000
3,23200.000000,5200.000000,11,18000.000000,220000.000000,13000.000000,18000.000000,189000.000000,0.059091,0.000000,0.000000,0,1.000000
4,24200.000000,4200.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
5,25100.000000,5100.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
6,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
7,22800.000000,6800.000000,13,16000.000000,220000.000000,18000.000000,16000.000000,186000.000000,0.081818,0.000000,0.000000,0,1.000000
8,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
9,24100.000000,4100.000000,10,20000.000000,220000.000000,10000.000000,20000.000000,190000.000000,0.045455,0.000000,0.000000,0,1.000000
10,23200.000000,5200.000000,11,18000.000000,220000.000000,13000.000000,18000.000000,189000.000000,0.059091,0.000000,0.000000,0,1.000000
11,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
12,23400.000000,3400.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
13,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
14,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
15,23800.000000,5800.000000,11,18000.000000,220000.000000,13000.000000,18000.000000,189000.000000,0.059091,0.000000,0.000000,0,1.000000
16,22970.588235,4000.000000,9,18000.000000,220000.000000,9000.000000,18000.000000,193000.000000,0.040909,970.588235,2.000000,1,0.992647
17,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
18,25200.000000,3200.000000,9,22000.000000,220000.000000,7000.000000,22000.000000,191000.000000,0.031818,0.000000,0.000000,0,1.000000
19,22970.588235,4000.000000,9,18000.000000,220000.000000,9000.000000,18000.000000,193000.000000,0.040909,970.588235,2.000000,1,0.992647
20,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
21,22800.000000,6800.000000,13,16000.000000,220000.000000,18000.000000,16000.000000,186000.000000,0.081818,0.000000,0.000000,0,1.000000
22,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
23,26400.000000,4400.000000,9,22000.000000,220000.000000,7000.000000,22000.000000,191000.000000,0.031818,0.000000,0.000000,0,1.000000
24,22970.588235,4000.000000,9,18000.000000,220000.000000,9000.000000,18000.000000,193000.000000,0.040909,970.588235,2.000000,1,0.992647
25,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
26,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
27,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
28,22970.588235,4000.000000,9,18000.000000,220000.000000,9000.000000,18000.000000,193000.000000,0.040909,970.588235,2.000000,1,0.992647
29,27400.000000,3400.000000,9,24000.000000,220000.000000,6000.000000,24000.000000,190000.000000,0.027273,0.000000,0.000000,0,1.000000
30,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
31,24200.000000,4200.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
32,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
33,23400.000000,3400.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
34,23900.000000,3900.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
35,23800.000000,3800.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
36,22600.000000,4600.000000,8,18000.000000,220000.000000,7000.000000,18000.000000,195000.000000,0.031818,0.000000,0.000000,0,1.000000
37,22800.000000,6800.000000,13,16000.000000,220000.000000,18000.000000,16000.000000,186000.000000,0.081818,0.000000,0.000000,0,1.000000
38,24500.000000,4500.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
39,22800.000000,6800.000000,13,16000.000000,220000.000000,18000.000000,16000.000000,186000.000000,0.081818,0.000000,0.000000,0,1.000000
40,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
41,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
42,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
43,26200.000000,4200.000000,10,22000.000000,220000.000000,9000.000000,22000.000000,189000.000000,0.040909,0.000000,0.000000,0,1.000000
44,24400.000000,6400.000000,10,18000.000000,220000.000000,11000.000000,18000.000000,191000.000000,0.050000,0.000000,0.000000,0,1.000000
45,25900.000000,3900.000000,8,22000.000000,220000.000000,5000.000000,22000.000000,193000.000000,0.022727,0.000000,0.000000,0,1.000000
46,24200.000000,4200.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
47,23200.000000,5200.000000,11,18000.000000,220000.000000,13000.000000,18000.000000,189000.000000,0.059091,0.000000,0.000000,0,1.000000
48,24700.000000,4700.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
49,22800.000000,6800.000000,13,16000.000000,220000.000000,18000.000000,16000.000000,186000.000000,0.081818,0.000000,0.000000,0,1.000000
50,24200.000000,4200.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
51,24700.000000,4700.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
52,22970.588235,4000.000000,9,18000.000000,220000.000000,9000.000000,18000.000000,193000.000000,0.040909,970.588235,2.000000,1,0.992647
53,22600.000000,4600.000000,8,18000.000000,220000.000000,7000.000000,18000.000000,195000.000000,0.031818,0.000000,0.000000,0,1.000000
54,22800.000000,6800.000000,13,16000.000000,220000.000000,18000.000000,16000.000000,186000.000000,0.081818,0.000000,0.000000,0,1.000000
55,24100.000000,4100.000000,10,20000.000000,220000.000000,10000.000000,20000.000000,190000.000000,0.045455,0.000000,0.000000,0,1.000000
56,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
57,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
58,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
59,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
60,22600.000000,4600.000000,8,18000.000000,220000.000000,7000.000000,18000.000000,195000.000000,0.031818,0.000000,0.000000,0,1.000000
61,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
62,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
63,24100.000000,4100.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,0.000000,0.000000,0,1.000000
64,22800.000000,6800.000000,13,16000.000000,220000.000000,18000.000000,16000.000000,186000.000000,0.081818,0.000000,0.000000,0,1.000000
65,22600.000000,4600.000000,8,18000.000000,220000.000000,7000.000000,18000.000000,195000.000000,0.031818,0.000000,0.000000,0,1.000000
66,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
67,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
68,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
69,24670.588235,3700.000000,9,20000.000000,220000.000000,8000.000000,20000.000000,192000.000000,0.036364,970.588235,2.000000,1,0.992647
70,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
71,22100.000000,6100.000000,10,16000.000000,220000.000000,12000.000000,16000.000000,192000.000000,0.054545,0.000000,0.000000,0,1.000000
